"id","comment_text","toxic","severe_toxic","obscene","threat","insult","identity_hate"
"1","I really enjoyed the movie. It had great acting and a compelling plot.","0","0","0","0","0","0"
"2","This restaurant serves terrible food. I got food poisoning from eating here.","1","0","1","0","1","0"
"3","The speaker at the conference made several offensive comments about women and minorities.","1","0","1","1","1","1"
"4","I disagree with your opinion on this topic, but I respect your right to express it.","0","0","0","0","0","0"
"5","The graffiti on this building is a blight on the neighborhood.","1","0","1","0","1","0"
"6","I can't believe you would say something so racist. You should be ashamed of yourself.","1","0","1","0","1","1"
"7","I think the author of this article is completely wrong. Their arguments are flawed.","0","0","0","0","1","0"
"8","I'm sorry, but your behavior is unacceptable. Please stop harassing me.","1","1","0","1","1","1"
"9","This product is a ripoff. Don't waste your money on it.","1","0","1","0","1","0"
"10","I'm so sick of all the hate and vitriol on social media these days.","1","0","1","0","1","1"
"11","This article is so stupid. The author clearly has no idea what they're talking about.","1","0","1","0","1","0"
"12","I can't believe you're defending that criminal. They belong in jail.","1","0","1","1","1","0"
"13","Your taste in music is terrible. Anyone who listens to that is an idiot.","1","0","1","0","1","0"
"14","I hope someone beats the crap out of you. You deserve it.","1","1","1","1","1","0"
"15","I don't know how you can live with yourself after what you did. You're a terrible person.","1","0","1","1","1","1"
"16","I can't stand you. Every time you open your mouth, you say something stupid.","0","0","1","0","1","0"
"17","You're a disgrace to your race. You should be ashamed of yourself.","1","0","1","1","1","1"
"18","I can't believe you would say something so insensitive. You have no empathy.","1","0","1","0","1","1"
"19","This movie was a waste of time. The acting was terrible and the plot made no sense.","0","0","0","0","1","0"
"20","I wish you would just shut up. You're annoying everyone.","0","0","0","0","1","0"
"21","I don't understand how anyone could be so stupid. Are you even capable of rational thought?","1","0","1","0","1","0"
"22","You're a worthless piece of garbage. No one will ever love you.","1","1","1","1","1","1"
"23","Your jokes are not funny. They're offensive and hurtful.","1","0","1","0","1","0"
"24","You're not even worth my time. Go crawl back under your rock.","0","0","0","0","1","0"
"25","I can't believe you're still alive. You're a waste of space.","1","1","1","1","1","0"
"26","You're a pathetic excuse for a human being. I feel sorry for anyone who has to deal with you.","1","0","1","0","1","1"
"27","I hope you rot in hell. You deserve it.","1","1","1","1","1","0"
"28","Your opinion is irrelevant. No one cares what you think.","0","0","0","0","1","0"
"29","I can't believe you're so ignorant. Do you even know what you're talking about?","1","0","1","0","1","0"
"30","You're a sad excuse for a parent. Your children deserve better.","1","0","1","1","1","0"
"31","I wish you would just disappear. You're a blight on society.","1","1","1","1","1","0"
"32","I don't know why anyone would associate with you. You're toxic.","1","1","1","1","1","0"
"33","Your existence is a mistake. You should never have been born.","1","1","1","1","1","0"
"35","Your behavior is unacceptable. You need to change.","1","0","1","1","1","0"
"36","I can't believe you're so narrow-minded. Have you ever considered other perspectives?","1","0","1","0","1","0"
"37","You're a bully. No one should have to put up with your abuse.","1","1","1","1","1","0"
"38","I'm tired of hearing your constant negativity. Can't you say anything positive for once?","0","0","0","0","1","0"
"39","You're a coward for hiding behind a screen and spewing hate.","1","0","1","1","1","0"
"40","Your comments are inappropriate and offensive. Keep them to yourself.","1","0","1","0","1","0"
"41","I don't know how you live with yourself after what you've done. You're a monster.","1","1","1","1","1","1"
"42","You're a hypocrite. You don't practice what you preach.","1","0","1","0","1","0"
"43","I can't believe someone as stupid as you exists. It's a wonder you're still alive.","1","0","1","0","1","0"
"44","You're a disgrace to humanity. I'm ashamed to even know you.","1","1","1","1","1","1"
"45","Your comments are hurtful and unnecessary. Can't you just be kind?","1","0","1","0","1","0"
"46","I hope karma catches up to you. You deserve everything coming your way.","1","1","1","1","1","0"
"47","You're a waste of oxygen. I wish you would just disappear.","1","1","1","1","1","0"
"48","Your ignorance is astounding. Do some research before you speak.","1","0","1","0","1","0"
"49","You're a danger to society. I hope you get the help you need.","1","1","1","1","1","0"
"50","Your existence is a burden on everyone around you. No one wants you here.","1","1","1","1","1","0"
"51","I can't believe you would say something so insensitive. You have no heart.","1","0","1","0","1","1"
"52","You're a disgrace to your family. They must be so ashamed of you.","1","0","1","1","1","1"
"53","Your comments are ignorant and offensive. Keep your hate to yourself.","1","0","1","0","1","0"
"54","I don't know how you can sleep at night knowing the harm you've caused.","1","1","1","1","1","1"
"55","You're a pathetic excuse for a human being. I wouldn't wish your company on my worst enemy.","1","1","1","1","1","1"
"56","I hope you get what's coming to you. You deserve it.","1","1","1","1","1","0"
"57","Your comments are not only hurtful, they're also factually incorrect.","1","0","1","0","1","0"
"58","I can't stand to be around you. Your negativity is toxic.","1","0","1","0","1","0"
"59","You're a disgrace to the human race. I wish you would just disappear.","1","1","1","1","1","1"
